Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,2280.000000,2320.000000,2280.000000,2310.000000,2310.000000,37542900
2021-08-31,2350.000000,2400.000000,2320.000000,2390.000000,2390.000000,117729600
2021-09-01,2390.000000,2430.000000,2370.000000,2390.000000,2390.000000,81067300
2021-09-02,2390.000000,2390.000000,2320.000000,2320.000000,2320.000000,44419100
2021-09-03,2320.000000,2350.000000,2300.000000,2350.000000,2350.000000,29176500
2021-09-06,2380.000000,2400.000000,2340.000000,2380.000000,2380.000000,65055100
2021-09-07,2400.000000,2410.000000,2350.000000,2350.000000,2350.000000,33406100
2021-09-08,2350.000000,2380.000000,2300.000000,2320.000000,2320.000000,58229900
2021-09-09,2330.000000,2450.000000,2290.000000,2440.000000,2440.000000,150815700
2021-09-10,2470.000000,2630.000000,2470.000000,2590.000000,2590.000000,423200100
2021-09-13,2570.000000,2590.000000,2480.000000,2520.000000,2520.000000,131318700
2021-09-14,2500.000000,2500.000000,2440.000000,2470.000000,2470.000000,139289700
2021-09-15,2470.000000,2530.000000,2460.000000,2490.000000,2490.000000,110525900
2021-09-16,2520.000000,2550.000000,2390.000000,2410.000000,2410.000000,163306000
2021-09-17,2370.000000,2430.000000,2370.000000,2400.000000,2400.000000,61535600
2021-09-20,2380.000000,2390.000000,2330.000000,2350.000000,2350.000000,82487500
2021-09-21,2350.000000,2370.000000,2300.000000,2360.000000,2360.000000,66014000
2021-09-22,2370.000000,2410.000000,2330.000000,2340.000000,2340.000000,88209700
2021-09-23,2370.000000,2370.000000,2290.000000,2290.000000,2290.000000,153137400
2021-09-24,2290.000000,2340.000000,2280.000000,2290.000000,2290.000000,159085400
2021-09-27,2310.000000,2330.000000,2280.000000,2290.000000,2290.000000,52714300
2021-09-28,2310.000000,2330.000000,2260.000000,2270.000000,2270.000000,99767900
2021-09-29,2260.000000,2320.000000,2250.000000,2310.000000,2310.000000,97068300
2021-09-30,2310.000000,2340.000000,2270.000000,2290.000000,2290.000000,125415100
2021-10-01,2280.000000,2280.000000,2220.000000,2220.000000,2220.000000,199919600
2021-10-04,2230.000000,2320.000000,2230.000000,2310.000000,2310.000000,143892700
2021-10-05,2290.000000,2420.000000,2290.000000,2300.000000,2300.000000,297763700
2021-10-06,2320.000000,2340.000000,2300.000000,2300.000000,2300.000000,98305700
2021-10-07,2320.000000,2350.000000,2300.000000,2330.000000,2330.000000,106183800
2021-10-08,2380.000000,2410.000000,2330.000000,2340.000000,2340.000000,159593300
2021-10-11,2390.000000,2430.000000,2370.000000,2420.000000,2420.000000,233370800
2021-10-12,2410.000000,2410.000000,2350.000000,2370.000000,2370.000000,131463700
2021-10-13,2360.000000,2370.000000,2330.000000,2340.000000,2340.000000,70802000
2021-10-14,2350.000000,2420.000000,2340.000000,2420.000000,2420.000000,189624300
2021-10-15,2450.000000,2480.000000,2410.000000,2470.000000,2470.000000,260095700
2021-10-18,2500.000000,2570.000000,2500.000000,2510.000000,2510.000000,237360500
2021-10-19,2530.000000,2540.000000,2460.000000,2530.000000,2530.000000,153636200
2021-10-21,2600.000000,2630.000000,2420.000000,2450.000000,2450.000000,346789000
2021-10-22,2400.000000,2460.000000,2370.000000,2430.000000,2430.000000,124149100
2021-10-25,2450.000000,2460.000000,2410.000000,2420.000000,2420.000000,50651600
2021-10-26,2450.000000,2460.000000,2400.000000,2400.000000,2400.000000,64791500
2021-10-27,2400.000000,2410.000000,2340.000000,2350.000000,2350.000000,75548400
2021-10-28,2320.000000,2340.000000,2300.000000,2320.000000,2320.000000,77309100
2021-10-29,2340.000000,2370.000000,2330.000000,2340.000000,2340.000000,52556000
2021-11-01,2360.000000,2360.000000,2320.000000,2330.000000,2330.000000,34622200
2021-11-02,2340.000000,2350.000000,2310.000000,2310.000000,2310.000000,27322900
2021-11-03,2320.000000,2340.000000,2310.000000,2320.000000,2320.000000,21938100
2021-11-04,2320.000000,2390.000000,2320.000000,2380.000000,2380.000000,67025700
2021-11-05,2390.000000,2400.000000,2340.000000,2360.000000,2360.000000,40241200
2021-11-08,2380.000000,2400.000000,2350.000000,2370.000000,2370.000000,46985500
2021-11-09,2380.000000,2390.000000,2330.000000,2340.000000,2340.000000,44444800
2021-11-10,2330.000000,2350.000000,2320.000000,2340.000000,2340.000000,38322000
2021-11-11,2350.000000,2370.000000,2340.000000,2370.000000,2370.000000,41526700
2021-11-12,2380.000000,2420.000000,2370.000000,2400.000000,2400.000000,80769500
2021-11-15,2420.000000,2430.000000,2340.000000,2390.000000,2390.000000,100184600
2021-11-16,2390.000000,2410.000000,2370.000000,2380.000000,2380.000000,47663300
2021-11-17,2380.000000,2390.000000,2340.000000,2350.000000,2350.000000,50176400
2021-11-18,2350.000000,2370.000000,2320.000000,2330.000000,2330.000000,52679900
2021-11-19,2350.000000,2400.000000,2340.000000,2390.000000,2390.000000,93539700
2021-11-22,2400.000000,2400.000000,2350.000000,2370.000000,2370.000000,46485000
2021-11-23,2390.000000,2460.000000,2370.000000,2400.000000,2400.000000,159836400
2021-11-24,2400.000000,2450.000000,2380.000000,2440.000000,2440.000000,73287900
2021-11-25,2470.000000,2490.000000,2430.000000,2440.000000,2440.000000,109033700
2021-11-26,2410.000000,2410.000000,2330.000000,2340.000000,2340.000000,162294600
2021-11-29,2330.000000,2360.000000,2320.000000,2330.000000,2330.000000,82567700
2021-11-30,2340.000000,2370.000000,2300.000000,2300.000000,2300.000000,151186400
2021-12-01,2300.000000,2320.000000,2250.000000,2270.000000,2270.000000,83612700
2021-12-02,2270.000000,2370.000000,2260.000000,2340.000000,2340.000000,89010800
2021-12-03,2350.000000,2370.000000,2320.000000,2340.000000,2340.000000,38757200
2021-12-06,2340.000000,2360.000000,2310.000000,2320.000000,2320.000000,31951700
2021-12-07,2340.000000,2350.000000,2330.000000,2340.000000,2340.000000,21542900
2021-12-08,2360.000000,2360.000000,2320.000000,2330.000000,2330.000000,24204300
2021-12-09,2330.000000,2340.000000,2320.000000,2330.000000,2330.000000,20800100
2021-12-10,2330.000000,2330.000000,2310.000000,2320.000000,2320.000000,13962600
2021-12-13,2330.000000,2350.000000,2320.000000,2320.000000,2320.000000,15212500
2021-12-14,2320.000000,2320.000000,2280.000000,2290.000000,2290.000000,28618000
2021-12-15,2290.000000,2300.000000,2270.000000,2280.000000,2280.000000,34080000
2021-12-16,2290.000000,2300.000000,2260.000000,2290.000000,2290.000000,35249800
2021-12-17,2310.000000,2310.000000,2250.000000,2250.000000,2250.000000,50857800
2021-12-20,2250.000000,2260.000000,2220.000000,2220.000000,2220.000000,53770200
2021-12-21,2220.000000,2280.000000,2220.000000,2260.000000,2260.000000,37964200
2021-12-22,2270.000000,2300.000000,2250.000000,2250.000000,2250.000000,28786500
2021-12-23,2260.000000,2270.000000,2240.000000,2240.000000,2240.000000,19005000
2021-12-24,2260.000000,2300.000000,2250.000000,2280.000000,2280.000000,30712000
2021-12-27,2300.000000,2300.000000,2280.000000,2300.000000,2300.000000,18193100
2021-12-28,2310.000000,2320.000000,2260.000000,2260.000000,2260.000000,29787500
2021-12-29,2270.000000,2290.000000,2260.000000,2270.000000,2270.000000,14304600
2021-12-30,2280.000000,2300.000000,2250.000000,2250.000000,2250.000000,27319000
2022-01-03,2260.000000,2350.000000,2260.000000,2340.000000,2340.000000,74416700
2022-01-04,2340.000000,2350.000000,2290.000000,2300.000000,2300.000000,32222200
2022-01-05,2310.000000,2340.000000,2250.000000,2270.000000,2270.000000,51315000
2022-01-06,2260.000000,2270.000000,2230.000000,2230.000000,2230.000000,45325800
2022-01-07,2250.000000,2260.000000,2230.000000,2230.000000,2230.000000,26661900
2022-01-10,2250.000000,2250.000000,2220.000000,2220.000000,2220.000000,35421200
2022-01-11,2220.000000,2230.000000,2080.000000,2080.000000,2080.000000,170397900
2022-01-12,2120.000000,2150.000000,1935.000000,1935.000000,1935.000000,394745900
2022-01-13,1935.000000,1995.000000,1840.000000,1965.000000,1965.000000,284219000
2022-01-14,1965.000000,1975.000000,1930.000000,1950.000000,1950.000000,106442100
2022-01-17,1950.000000,1955.000000,1840.000000,1855.000000,1855.000000,183492900
2022-01-18,1850.000000,1875.000000,1765.000000,1780.000000,1780.000000,219496200
2022-01-19,1780.000000,1810.000000,1705.000000,1725.000000,1725.000000,230606700
2022-01-20,1765.000000,1935.000000,1750.000000,1935.000000,1935.000000,368848100
2022-01-21,1935.000000,1965.000000,1890.000000,1945.000000,1945.000000,169331400
2022-01-24,1950.000000,1955.000000,1875.000000,1885.000000,1885.000000,70289800
